,Site,Col_Company,Col_Recruit,Col_detail,Col_url
0,Saramin,넛지헬스케어(주),[캐시워크] 데이터분석 담당 채용전환형 인턴 ,"['서울 강남구', '신입', '대졸↑', '인턴직']",/zf_user/jobs/relay/view?view_type=search&rec_idx=51874348&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=y&search_uuid=bd068f04-e6b1-4703-8719-2fa8fc41b3c1
1,Saramin,현대해상화재보험(주),2025년 현대해상 대졸 신입사원 채용(디지털/데이터분석) ,"['서울 종로구', '신입', '대졸↑', '정규직']",/zf_user/jobs/relay/view?view_type=search&rec_idx=51826221&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=bd068f04-e6b1-4703-8719-2fa8fc41b3c1
2,Saramin,(주)에이치에스애드,2025년 하반기 대졸 채용연계형 인턴십 공고(AI데이터분석) ,"['서울 마포구', '신입', '대졸↑', '정규직·인턴직']",/zf_user/jobs/relay/view?view_type=search&rec_idx=51812343&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=bd068f04-e6b1-4703-8719-2fa8fc41b3c1
3,Saramin,(주)마크클라우드,"AI 개발(Python), 데이터분석 및 사업 기획 인턴 모집 ","['서울 강남구', '경력무관', '대졸↑', '인턴직']",/zf_user/jobs/relay/view?view_type=search&rec_idx=51822688&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=bd068f04-e6b1-4703-8719-2fa8fc41b3c1
4,Saramin,휴먼IT교육센터_국비지원무료교육,[국비무료/숙식무료]AI/빅데이터분석/풀스택/KDT심화 ,"['서울 영등포구', '경력무관', '학력무관', '교육생']",/zf_user/jobs/relay/view?view_type=search&rec_idx=51852109&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=bd068f04-e6b1-4703-8719-2fa8fc41b3c1
5,Saramin,(주)인이지,[INEEJI] (주)인이지 데이터분석가/AI엔지니어 전문가 채용 ,"['서울 서초구', '신입·경력', '대졸↑', '정규직·전문연구요원']",/zf_user/jobs/relay/view?view_type=search&rec_idx=51835736&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=bd068f04-e6b1-4703-8719-2fa8fc41b3c1
6,Saramin,(주)이엠넷,(주)이엠넷 솔루션기획자 및 데이터분석가 경력직 채용 ,"['서울 구로구', '경력1년↑', '대졸↑', '정규직']",/zf_user/jobs/relay/view?view_type=search&rec_idx=51752331&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=bd068f04-e6b1-4703-8719-2fa8fc41b3c1
7,Saramin,(주)핀인사이트,⭐인턴기회제공⭐핀테크 실무프로젝트 기반 생성형AI 데이터분석 과정 모집 ,"[' 서울전체', '경력무관', '학력무관', '교육생']",/zf_user/jobs/relay/view?view_type=search&rec_idx=51796816&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=bd068f04-e6b1-4703-8719-2fa8fc41b3c1
8,Saramin,(주)잡플러스코리아,"[TKL] 콜센터지원팀 총무 및 사무지원팀[물품관리,콜데이터분석] ","['서울 마포구', '경력무관', '학력무관', '계약직·파견직', '3,200 만원']",/zf_user/jobs/relay/view?view_type=search&rec_idx=51604150&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=bd068f04-e6b1-4703-8719-2fa8fc41b3c1
9,Saramin,(주)잡플러스코리아,"[티케이엘리베이터코리아] 콜센터지원팀 물품관리,콜데이터분석 ","['서울 마포구', '경력무관', '학력무관', '계약직·파견직', '3,200 만원']",/zf_user/jobs/relay/view?view_type=search&rec_idx=51803485&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=bd068f04-e6b1-4703-8719-2fa8fc41b3c1
